OUT X,OUT Y
3.001148593065054e-09,1.837706670993858
3.002335736813771e-09,1.875702701924926
3.003667868406885e-09,1.900132483215394
3.005e-09,1.891125644262479
3.005231994442373e-09,1.880762944665549
3.00561785361495e-09,1.863502125082857
3.005956043180723e-09,1.848357751188033
3.00663242231227e-09,1.81803088308564
3.007985180575363e-09,1.757240174774634
3.010690697101548e-09,1.635198603449864
3.01610173015392e-09,1.39033844343076
3.026923796258663e-09,0.9112470944341146
3.037264471738031e-09,0.5090521653622423
3.045823363254603e-09,0.271680141562395
3.053211200398011e-09,0.1488063133194937
3.063644217502647e-09,0.05899724137304955
3.071526165261479e-09,0.02906113848398429
3.080078134218649e-09,0.01328244695625365
3.089562069267758e-09,0.00551090096081492
3.10196762138619e-09,0.0016250817591321
3.117997903654032e-09,0.000273910652955147
3.140559374936982e-09,-8.519425210493786e-06
3.174061866993467e-09,-2.293366704723444e-06
3.232691820083819e-09,2.977647313010846e-07
3.312691820083819e-09,-1.610392927839168e-07
3.392691820083819e-09,9.623610499263592e-08
3.448845910041909e-09,-3.570689117254531e-08
3.505e-09,2.016228470605269e-08
3.506052573686973e-09,-0.01971984612697707
3.507172598186943e-09,-0.04655680340284456
3.508586299093472e-09,-0.07649791571862902
3.51e-09,-0.08824888213302048
3.510238824399069e-09,-0.08231075863316288
3.510639361995141e-09,-0.07228720579027247
3.510989771578189e-09,-0.06347598313058316
3.511690590744286e-09,-0.04576173116048701
3.513092229076479e-09,-0.01002665147829424
3.515895505740866e-09,0.06231386445857291
3.521502059069638e-09,0.2087804455462888
3.532260952865722e-09,0.4900048478966009
3.545587414355582e-09,0.8271326018982218
3.561171322502505e-09,1.177886675174467
3.575498124011332e-09,1.424910076655961
3.589037807578023e-09,1.578286944209682
3.606669164079799e-09,1.693203201434441
3.621976497617268e-09,1.744232577056142
3.63741630012906e-09,1.771333979817748
3.654369037685706e-09,1.786342077117804
3.675090593481788e-09,1.794629677559402
3.700979040089925e-09,1.798426668889763
3.734879542095964e-09,1.799747440654302
3.78147783841967e-09,1.800004074872539
3.851981878714411e-09,1.800001701668235
3.931981878714411e-09,1.799999562264115
4e-09,1.800000021867059
